TEAM,NAME,image,,,,,,,,,BATTING STYLE,BOWLING STYLE,PLAYING ROLE
Kolkata Knight Riders,Rahmanullah Gurbaz,, 'FIELDING POSITION\n\nWicketkeeper',, 'PLAYING ROLE\n\nWicketkeeper Batter',, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat', 'BOWLING STYLE\n\nRight arm Medium',,Right hand Bat,Right arm Medium,Wicketkeeper Batter
Kolkata Knight Riders,Ramandeep Singh,, 'nilING STYLE\n\nRight arm Medium',, 'PLAYING ROLE\n\nMiddle order Batter'],, 'AGE\n\n28y 84d',, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat',Right hand Bat,Right arm Medium,Middle order Batter
Kolkata Knight Riders,Rinku Singh,,Left hand Bat,Left hand Bat, 'BOWLING STYLE\n\nRight arm Offbreak',, Uttar Pradesh',, 'AGE\n\n27y 267d',,Left hand Bat,Right arm Offbreak,Middle order Batter
Kolkata Knight Riders,Luvnith Sisodia,,Left hand Bat,Left hand Bat, 'BOWLING STYLE\n\nLeft arm Medium',, Karnataka',, 'AGE\n\n25y 172d',,Left hand Bat,Left arm Medium,Wicketkeeper Batter
Kolkata Knight Riders,Rovman Powell,, 'nilING STYLE\n\nRight arm Medium fast',, 'PLAYING ROLE\n\nMiddle order Batter'],, 'AGE\n\n31y 348d',, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat',Right hand Bat,Right arm Medium fast,Middle order Batter
Kolkata Knight Riders,Venkatesh Iyer,, 'ALSO KNOWN AS\n\nVenkatesh Iyer',,Left hand Bat,Left hand Bat, Madhya Pradesh',, 'AGE\n\n30y 193d',,Left hand Bat,Right arm Medium,Allrounder
Kolkata Knight Riders,Sunil Narine,,Left hand Bat,Left hand Bat, 'BOWLING STYLE\n\nRight arm Offbreak',, Trinidad & Tobago',, 'AGE\n\n37y 41d',,Left hand Bat,Right arm Offbreak,Bowling Allrounder
Kolkata Knight Riders,Anukul Roy,,Left hand Bat,Left hand Bat, 'BOWLING STYLE\n\nSlow Left arm Orthodox',, Jharkhand',, 'AGE\n\n26y 218d',,Left hand Bat,Slow Left arm Orthodox,Allrounder
Kolkata Knight Riders,Andre Russell,, 'nilING STYLE\n\nRight arm Fast',, 'PLAYING ROLE\n\nAllrounder'],, 'AGE\n\n37y 68d',, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat',Right hand Bat,Right arm Fast,Allrounder
Kolkata Knight Riders,Moeen Ali,,Left hand Bat,Left hand Bat, 'BOWLING STYLE\n\nRight arm Offbreak',, 'AGE\n\n38y 18d',, 'NICKNAMES\n\nMoe',,Left hand Bat,Right arm Offbreak,Batting Allrounder
Kolkata Knight Riders,Vaibhav Arora,, 'PLAYING ROLE\n\nniler'],,,, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat', 'BOWLING STYLE\n\nRight arm Fast medium',,Right hand Bat,Right arm Fast medium,Bowler
Kolkata Knight Riders,Harshit Rana,, 'nilING STYLE\n\nRight arm Fast',, 'PLAYING ROLE\n\nBowler'],, 'AGE\n\n23y 196d',, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat',Right hand Bat,Right arm Fast ,Bowler
Kolkata Knight Riders,Spencer Johnson,,Left hand Bat,Left hand Bat, 'BOWLING STYLE\n\nLeft arm Fast',, South Australia',, 'AGE\n\n29y 202d',,Left hand Bat,Left arm Fast,Bowler
Kolkata Knight Riders,Mayank Markande,, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat', 'BOWLING STYLE\n\nLegbreak',, Punjab',, 'AGE\n\n27y 237d',,Right hand Bat,Legbreak,Bowler
Kolkata Knight Riders,Anrich Nortje,, 'PLAYING ROLE\n\nniler'],,,, 'BATTING STYLE\n\nRight hand Bat', 'BATTING STYLE\n\nRight hand Bat', 'BOWLING STYLE\n\nRight arm Fast',,Right hand Bat,Right arm Fast,Bowler
Kolkata Knight Riders,Chetan Sakariya,, 'nilING STYLE\n\nLeft arm Medium fast',, 'PLAYING ROLE\n\nBowler'],, 'AGE\n\n27y 128d',,Left hand Bat,Left hand Bat,Left hand Bat,Left arm Medium fast ,Bowler
